name,rank,price(USD)
Komodo, Rank 52,0.753933
Augur, Rank 48,8.78
Factom, Rank 58,7.91
Populous, Rank 54,1.53
Aeternity, Rank 47,0.409616
Siacoin, Rank 45,0.002823
Chainlink, Rank 46,0.294151
IOST, Rank 59,0.005642
Dai, Rank 57,1.01
Bitcoin, Rank 1,3763.14
THETA, Rank 98,0.049800
Aurora, Rank 58,0.010374
Zcoin, Rank 93,5.43
STASIS EURS, Rank 99,1.12
Bytom, Rank 54,0.078637
MOAC, Rank 95,0.598146
DigixDAO, Rank 88,19.96
BitShares, Rank 45,0.040230
Aion, Rank 80,0.151449
Maximine Coin, Rank 259,0.005513
HyperCash, Rank 89,0.875613
Veritaseum, Rank 92,16.78
Bancor, Rank 85,0.632848
Ark, Rank 81,0.386167
Waltonchain, Rank 77,1.11
PIVX, Rank 84,0.742205
Buggyra Coin Zero, Rank 182,0.009665
KuCoin Shares, Rank 66,0.603713
Status, Rank 64,0.018101
Cryptonex, Rank 63,1.11
MaidSafeCoin, Rank 62,0.142889
DigiByte, Rank 42,0.010740
Bytecoin, Rank 38,0.000711
Golem, Rank 60,0.069166
Decred, Rank 34,17.71
Nano, Rank 41,0.910030
Bitcoin Diamond, Rank 37,0.915645
Basic Attention Token, Rank 34,0.131414
Lisk, Rank 35,1.34
Qtum, Rank 29,2.27
OmiseGO, Rank 29,1.34
TrueUSD, Rank 27,1.01
Bitcoin Gold, Rank 25,13.56
VeChain, Rank 26,0.004115
USD Coin, Rank 24,1.02
Dogecoin, Rank 23,0.002353
Tezos, Rank 22,0.482671
Maker, Rank 20,458.21
NEO, Rank 18,7.81
IOTA, Rank 12,0.370231
Monero, Rank 13,48.18
Binance Coin, Rank 14,6.11
Ethereum Classic, Rank 17,5.11
Zcash, Rank 20,57.17
Tether, Rank 7,1.01
EOS, Rank 5,2.63
Dash, Rank 15,80.08
Ethereum, Rank 3,139.89
Bitcoin Cash, Rank 4,160.12
XRP, Rank 2,0.376038
